similarity,feature
0.5134195685386658,0
0.5845999717712402,1
0.5041288733482361,1
0.5301752090454102,0
0.5249367952346802,0
0.48655521869659424,0
0.5741360187530518,0
0.5146908164024353,0
0.5377526879310608,0
0.609362006187439,1
0.5511829257011414,0
0.6271857023239136,1
0.5221239328384399,0
0.6691218018531799,1
0.711718738079071,1
0.6425706744194031,1
0.49802273511886597,1
0.5727144479751587,1
0.5090091228485107,1
0.5726805925369263,1
0.5141159296035767,0
0.5865252017974854,0
0.5108205676078796,0
0.5193612575531006,1
0.682421088218689,1
0.5185389518737793,0
0.5578421354293823,1
0.5267150402069092,0
0.5359713435173035,0
0.5962865352630615,1
0.48975151777267456,0
0.5226142406463623,1
0.5832277536392212,1
0.6237018704414368,1
0.5473122000694275,1
0.7573603987693787,1
0.6515171527862549,1
0.5049147009849548,0
0.5465653538703918,0
0.551697850227356,0
0.6110930442810059,1
0.6553224325180054,1
0.5183645486831665,0
0.6009525060653687,1
0.5099575519561768,0
0.6212551593780518,1
0.5160531997680664,0
0.5097841024398804,0
0.5271778106689453,1
0.5646036863327026,1
0.6675201654434204,1
0.5082287788391113,0
0.5328912734985352,0
0.4989497661590576,0
0.5516097545623779,1
0.5036507844924927,0
0.6053421497344971,1
0.5638843178749084,1
0.6831245422363281,1
0.6444909572601318,1
0.5226531624794006,0
0.4914059042930603,0
0.6215867400169373,1
0.5233046412467957,0
0.6400076746940613,1
0.49470406770706177,0
0.6332319378852844,0
0.5939744710922241,1
0.5342835783958435,0
0.5291450023651123,0
0.489104688167572,0
0.5074940919876099,0
0.5383081436157227,0
0.6330535411834717,1
0.587525486946106,1
0.5318571329116821,0
0.48525577783584595,0
0.5704840421676636,1
0.5675472021102905,0
0.49992090463638306,1
0.48805421590805054,0
0.5013926029205322,0
0.6094502806663513,1
0.5426743626594543,0
0.6115900278091431,1
0.62019944190979,1
0.5020931959152222,0
0.5075714588165283,0
0.5011407136917114,0
0.5094534158706665,1
0.5752781629562378,1
0.5124821066856384,1
0.5244545340538025,0
0.6234128475189209,1
0.6504440903663635,1
0.5655609965324402,0
0.5917302370071411,1
0.5467201471328735,1
0.6646667718887329,1
0.587244987487793,1
0.5524098873138428,0
0.6088915467262268,1
0.5183558464050293,0
0.5529916882514954,0
0.5447105169296265,1
0.5180585980415344,0
0.732338011264801,1
0.5811895132064819,1
0.5165197253227234,0
0.7974904179573059,1
0.6241677403450012,1
0.5031144022941589,1
0.5730801820755005,0
0.5114126205444336,0
0.5162757039070129,0
0.50499427318573,0
0.6373462677001953,1
0.61556077003479,1
0.6656578779220581,1
0.6497644186019897,1
0.6451196670532227,1
0.5181894302368164,0
0.4987892508506775,1
0.6322730183601379,1
0.541839599609375,1
0.5509272813796997,0
0.5965023040771484,1
0.5783790349960327,1
0.5541276931762695,0
0.5115694999694824,0
0.6369448900222778,0
0.5441782474517822,1
0.5339772701263428,0
0.5969197750091553,1
0.5306729078292847,0
0.5037490129470825,0
0.6004572510719299,1
0.6151163578033447,1
0.5241988897323608,1
0.5569445490837097,0
0.5204441547393799,0
0.5332655906677246,0
0.5491411685943604,0
0.5262813568115234,1
0.49422699213027954,0
0.5310122966766357,1
0.5302952527999878,0
0.5597923994064331,0
0.49632686376571655,0
0.5074517130851746,0
0.6004971265792847,1
0.5458515286445618,0
0.4913346767425537,0
0.6323513388633728,1
0.5795331597328186,1
0.664572536945343,1
0.5110034942626953,1
0.5082156658172607,0
0.6456581354141235,1
0.6186818480491638,1
0.5714237689971924,0
0.5298433303833008,0
0.5041126012802124,0
0.7007951736450195,1
0.5134044289588928,1
0.5214091539382935,1
0.5787339210510254,1
0.5212574005126953,0
0.5400142669677734,1
0.6646389961242676,1
0.6991481781005859,1
0.5839570760726929,0
0.48376017808914185,0
0.5548219680786133,0
0.548925518989563,1
0.5198680758476257,1
0.5258262157440186,0
0.5104776620864868,0
0.467293918132782,1
0.5145180225372314,0
0.47059112787246704,0
0.5082279443740845,0
0.5930126309394836,1
0.5728459358215332,1
0.654235303401947,1
0.4922844171524048,0
0.5044050216674805,1
0.581733226776123,0
0.5385794639587402,0
0.5263111591339111,1
0.6466978788375854,1
0.49711334705352783,0
0.5062084794044495,0
0.5233665704727173,0
0.509952187538147,0
0.49578219652175903,0
0.5229810476303101,0
0.5681654810905457,0
0.552245557308197,0
0.51041579246521,0
0.6168032884597778,1
0.6634386777877808,1
0.6941426992416382,1
0.4921143054962158,1
0.6967785358428955,1
0.5158472061157227,0
0.543136477470398,0
0.5588644742965698,0
0.6636630296707153,1
0.5292104482650757,0
0.5257585048675537,0
0.5305664539337158,0
0.5103569030761719,1
0.47998225688934326,1
0.6575775742530823,1
0.6422955989837646,1
0.6358333230018616,1
0.6047637462615967,0
0.730487585067749,1
0.5279906988143921,0
0.5372395515441895,1
0.4846329689025879,0
0.5744649171829224,0
0.6533844470977783,1
0.6086894273757935,1
0.4967927932739258,0
0.5727618932723999,1
0.6017501354217529,1
0.6324715614318848,1
0.5643277764320374,0
0.5254981517791748,1
0.5770037174224854,0
0.5198028683662415,1
0.5889987945556641,1
0.5136983394622803,0
0.5847618579864502,0
0.5171347856521606,0
0.4817357659339905,0
0.5221928358078003,0
0.5035200119018555,0
0.5445596575737,1
0.7159357070922852,1
0.5292129516601562,0
0.5213956832885742,0
0.4961482286453247,0
0.7163788080215454,1
0.5909358263015747,0
0.6237703561782837,1
0.5239022374153137,0
0.6895862817764282,1
0.5321803689002991,1
0.5463526844978333,0
0.5200660228729248,1
0.648386538028717,1
0.5140723586082458,0
0.5977931022644043,1
0.6138470768928528,1
0.6188715696334839,1
0.5035645961761475,0
0.508053183555603,0
0.5055691599845886,0
0.5142101049423218,0
0.4903942346572876,0
0.7036531567573547,1
0.597318172454834,1
0.530917763710022,0
0.5219762921333313,0
0.6120206713676453,1
0.5629691481590271,1
0.623997688293457,0
0.5212092399597168,0
0.5478743314743042,0
0.5085724592208862,0
0.6325381994247437,1
0.5019010305404663,1
0.5272595882415771,0
0.5107170343399048,0
0.5767925977706909,0
0.4870569109916687,0
0.6510772705078125,1
0.5195955038070679,1
0.5334804058074951,0
0.5034505724906921,0
0.6864341497421265,1
0.6306036710739136,1
0.6646709442138672,0
0.5162184238433838,0
0.49601995944976807,1
0.5478024482727051,0
0.49900174140930176,0
0.5061966180801392,1
0.5161610245704651,0
0.4789215922355652,1
0.4985795021057129,0
0.521414041519165,0
0.5427147150039673,0
0.48894554376602173,0
0.5352967977523804,1
0.6761420965194702,1
0.5257940292358398,0
0.5348073244094849,0
0.5580079555511475,0
0.6612964868545532,1
0.5600404739379883,1
0.5112626552581787,0
0.568909764289856,0
0.5171542763710022,0
0.6304615139961243,1
0.7001601457595825,1
0.5666184425354004,0
0.5007179975509644,0
0.5752056837081909,1
0.700368344783783,1
0.616930365562439,1
0.4791540503501892,0
0.6525027751922607,1
0.5171446800231934,0
0.4982041120529175,0
0.5212713479995728,0
0.4724445343017578,0
0.5416828393936157,1
0.5229355096817017,0
0.5380436182022095,0
0.47656041383743286,0
0.6278630495071411,1
0.5199377536773682,0
0.5263432860374451,0
0.5187889337539673,0
0.5778939723968506,1
0.5920364856719971,1
0.49589306116104126,0
0.6504265666007996,1
0.49195045232772827,0
0.5488390922546387,1
0.5666934847831726,0
0.5068304538726807,0
0.6519291400909424,1
0.5003798007965088,1
0.5243785381317139,1
0.5463165044784546,0
0.6348242163658142,1
0.4919317960739136,0
0.5200082659721375,0
0.6737445592880249,1
0.5462566614151001,0
0.6181946992874146,1
0.645053505897522,1
0.6511118412017822,1
0.5073505640029907,0
0.5152362585067749,0
0.7180590629577637,1
0.5504852533340454,1
0.6195272207260132,1
0.5068487524986267,0
0.5213606357574463,0
0.5461533665657043,0
0.5590510368347168,0
0.619668185710907,1
0.5877194404602051,0
0.5204083323478699,0
0.551226019859314,0
0.5497946739196777,1
0.5393890142440796,0
0.5001152753829956,1
0.5174720883369446,1
0.617882490158081,1
0.5056086182594299,0
0.4906585216522217,0
0.5388436317443848,1
0.6161500215530396,0
0.5084073543548584,1
0.5608841180801392,0
0.5649409294128418,1
0.5630675554275513,1
0.6786463260650635,1
0.5154152512550354,0
0.7306740880012512,1
0.6454930305480957,1
0.5996196269989014,1
0.5368719100952148,0
0.5515849590301514,1
0.6417638063430786,1
0.5013955235481262,0
0.4862375259399414,0
0.5788750648498535,0
0.6086679697036743,1
0.5179630517959595,0
0.5057655572891235,0
0.5262734889984131,0
0.5905046463012695,1
0.6884283423423767,1
0.552493155002594,0
0.5149083733558655,0
0.49528634548187256,0
0.5358783006668091,0
0.562653660774231,0
0.6617704033851624,1
